int;string;money
-420073507;abc qwertyqwertyqwerty xxxxxxxxxx;630718957.86
-103872533;abc qwertyqwertyqwerty xxxxxxxxxx;364108190.79
155479450;abc qwertyqwertyqwerty xxxxxxxxxx;834663110.34
115460739;abc qwertyqwertyqwerty xxxxxxxxxx;862836800.67
213144988;abc qwertyqwertyqwerty xxxxxxxxxx;92861319.49
449168759;abc qwertyqwertyqwerty xxxxxxxxxx;947158104.37
-107951451;abc qwertyqwertyqwerty xxxxxxxxxx;114316604.42
225202726;abc qwertyqwertyqwerty xxxxxxxxxx;550483869.42
-157565412;abc qwertyqwertyqwerty xxxxxxxxxx;688241949.47
227145612;abc qwertyqwertyqwerty xxxxxxxxxx;257554041.93
-61067519;abc qwertyqwertyqwerty xxxxxxxxxx;300676760.98
166214905;abc qwertyqwertyqwerty xxxxxxxxxx;885083765.18
311790770;abc qwertyqwertyqwerty xxxxxxxxxx;815450794.72
-348194917;abc qwertyqwertyqwerty xxxxxxxxxx;488858394.96
-467589182;abc qwertyqwertyqwerty xxxxxxxxxx;603747078.71
290217871;abc qwertyqwertyqwerty xxxxxxxxxx;513111718.35
-416759400;abc qwertyqwertyqwerty xxxxxxxxxx;636805549.89
207835492;abc qwertyqwertyqwerty xxxxxxxxxx;656918242.22
-105856671;abc qwertyqwertyqwerty xxxxxxxxxx;476429532.87
226582963;abc qwertyqwertyqwerty xxxxxxxxxx;16934291.36
-302333247;abc qwertyqwertyqwerty xxxxxxxxxx;140475432.32
-218136705;abc qwertyqwertyqwerty xxxxxxxxxx;507858931.28
24596674;abc qwertyqwertyqwerty xxxxxxxxxx;48931604.30
-180487187;abc qwertyqwertyqwerty xxxxxxxxxx;168786831.77
-50807128;abc qwertyqwertyqwerty xxxxxxxxxx;600201675.22
390281985;abc qwertyqwertyqwerty xxxxxxxxxx;329305640.51
355928282;abc qwertyqwertyqwerty xxxxxxxxxx;227305452.84
350849960;abc qwertyqwertyqwerty xxxxxxxxxx;555433523.11
309438089;abc qwertyqwertyqwerty xxxxxxxxxx;548310092.98
-185010834;abc qwertyqwertyqwerty xxxxxxxxxx;790413620.84
61832000;abc qwertyqwertyqwerty xxxxxxxxxx;64747045.87
139098015;abc qwertyqwertyqwerty xxxxxxxxxx;764003322.91
150864497;abc qwertyqwertyqwerty xxxxxxxxxx;97856600.20
479390931;abc qwertyqwertyqwerty xxxxxxxxxx;786182785.46
-302110982;abc qwertyqwertyqwerty xxxxxxxxxx;358622263.68
176227234;abc qwertyqwertyqwerty xxxxxxxxxx;153245248.52
-82603735;abc qwertyqwertyqwerty xxxxxxxxxx;203088918.76
227815368;abc qwertyqwertyqwerty xxxxxxxxxx;231381316.14
394259091;abc qwertyqwertyqwerty xxxxxxxxxx;751511413.75
303976307;abc qwertyqwertyqwerty xxxxxxxxxx;179596970.16
-195411874;abc qwertyqwertyqwerty xxxxxxxxxx;799669200.09
422326864;abc qwertyqwertyqwerty xxxxxxxxxx;40131520.81
89076604;abc qwertyqwertyqwerty xxxxxxxxxx;68326291.62
441178699;abc qwertyqwertyqwerty xxxxxxxxxx;97369687.79
-162095990;abc qwertyqwertyqwerty xxxxxxxxxx;467943410.39
-207790043;abc qwertyqwertyqwerty xxxxxxxxxx;316754187.66
84664275;abc qwertyqwertyqwerty xxxxxxxxxx;194145400.60
490322463;abc qwertyqwertyqwerty xxxxxxxxxx;530638580.76
297169217;abc qwertyqwertyqwerty xxxxxxxxxx;724446918.37
39533250;abc qwertyqwertyqwerty xxxxxxxxxx;760377199.73
-459468517;abc qwertyqwertyqwerty xxxxxxxxxx;863010086.46
30881667;abc qwertyqwertyqwerty xxxxxxxxxx;401523373.44
-326519742;abc qwertyqwertyqwerty xxxxxxxxxx;408028077.78
287508775;abc qwertyqwertyqwerty xxxxxxxxxx;245036524.57
-147694491;abc qwertyqwertyqwerty xxxxxxxxxx;631092150.15
-103028945;abc qwertyqwertyqwerty xxxxxxxxxx;421879960.74
-49377679;abc qwertyqwertyqwerty xxxxxxxxxx;298924493.49
112194874;abc qwertyqwertyqwerty xxxxxxxxxx;193805732.21
-352580517;abc qwertyqwertyqwerty xxxxxxxxxx;206103887.24
-121031989;abc qwertyqwertyqwerty xxxxxxxxxx;637947315.17
445470845;abc qwertyqwertyqwerty xxxxxxxxxx;153438863.43
-476063372;abc qwertyqwertyqwerty xxxxxxxxxx;190812361.13
177769350;abc qwertyqwertyqwerty xxxxxxxxxx;46970325.89
351452255;abc qwertyqwertyqwerty xxxxxxxxxx;59247562.28
-337311436;abc qwertyqwertyqwerty xxxxxxxxxx;263030922.43
392115701;abc qwertyqwertyqwerty xxxxxxxxxx;446949495.21
-115048055;abc qwertyqwertyqwerty xxxxxxxxxx;592247912.95
-410462611;abc qwertyqwertyqwerty xxxxxxxxxx;137371605.83
-252262841;abc qwertyqwertyqwerty xxxxxxxxxx;263347128.85
438795515;abc qwertyqwertyqwerty xxxxxxxxxx;214188228.94
-349488841;abc qwertyqwertyqwerty xxxxxxxxxx;238671281.21
-416986234;abc qwertyqwertyqwerty xxxxxxxxxx;233591220.22
-101837272;abc qwertyqwertyqwerty xxxxxxxxxx;303250562.32
-80361692;abc qwertyqwertyqwerty xxxxxxxxxx;19090962.40
85396797;abc qwertyqwertyqwerty xxxxxxxxxx;824830913.91
-353797817;abc qwertyqwertyqwerty xxxxxxxxxx;673500818.44
163724911;abc qwertyqwertyqwerty xxxxxxxxxx;16327280.39
443228837;abc qwertyqwertyqwerty xxxxxxxxxx;103098443.61
177234070;abc qwertyqwertyqwerty xxxxxxxxxx;91813154.53
-55051294;abc qwertyqwertyqwerty xxxxxxxxxx;525216758.44
290853009;abc qwertyqwertyqwerty xxxxxxxxxx;509831123.06
248049124;abc qwertyqwertyqwerty xxxxxxxxxx;525134129.53
-426813614;abc qwertyqwertyqwerty xxxxxxxxxx;604358138.23
-184547124;abc qwertyqwertyqwerty xxxxxxxxxx;453587762.06
285042091;abc qwertyqwertyqwerty xxxxxxxxxx;551920254.50
20560915;abc qwertyqwertyqwerty xxxxxxxxxx;19873317.13
-127242336;abc qwertyqwertyqwerty xxxxxxxxxx;993520279.54
-115231776;abc qwertyqwertyqwerty xxxxxxxxxx;818857932.57
311997499;abc qwertyqwertyqwerty xxxxxxxxxx;773702919.19
-177359343;abc qwertyqwertyqwerty xxxxxxxxxx;54683559.36
-106185591;abc qwertyqwertyqwerty xxxxxxxxxx;669577069.66
-89247324;abc qwertyqwertyqwerty xxxxxxxxxx;123951275.36
-278384522;abc qwertyqwertyqwerty xxxxxxxxxx;630281717.53
-32423421;abc qwertyqwertyqwerty xxxxxxxxxx;660459478.42
30110921;abc qwertyqwertyqwerty xxxxxxxxxx;535514935.33
-361186941;abc qwertyqwertyqwerty xxxxxxxxxx;52432438.79
-236393422;abc qwertyqwertyqwerty xxxxxxxxxx;449303627.31
-13879695;abc qwertyqwertyqwerty xxxxxxxxxx;915735335.80
74097678;abc qwertyqwertyqwerty xxxxxxxxxx;754843060.90
-423530693;abc qwertyqwertyqwerty xxxxxxxxxx;596149868.66
-358477439;abc qwertyqwertyqwerty xxxxxxxxxx;840388006.83
72615328;abc qwertyqwertyqwerty xxxxxxxxxx;444669824.29
-142964401;abc qwertyqwertyqwerty xxxxxxxxxx;953727359.35
300335284;abc qwertyqwertyqwerty xxxxxxxxxx;233986908.38
63069829;abc qwertyqwertyqwerty xxxxxxxxxx;961630979.30
-316429058;abc qwertyqwertyqwerty xxxxxxxxxx;310559232.29
-119153586;abc qwertyqwertyqwerty xxxxxxxxxx;108970387.38
-132258101;abc qwertyqwertyqwerty xxxxxxxxxx;88452240.44
352365832;abc qwertyqwertyqwerty xxxxxxxxxx;688894524.88
-166646629;abc qwertyqwertyqwerty xxxxxxxxxx;811067366.26
-56036850;abc qwertyqwertyqwerty xxxxxxxxxx;298529665.22
-225290929;abc qwertyqwertyqwerty xxxxxxxxxx;114925523.52
276100416;abc qwertyqwertyqwerty xxxxxxxxxx;381989589.67
90246685;abc qwertyqwertyqwerty xxxxxxxxxx;1327098.71
-70328864;abc qwertyqwertyqwerty xxxxxxxxxx;340179977.49
368352947;abc qwertyqwertyqwerty xxxxxxxxxx;80388051.60
341278870;abc qwertyqwertyqwerty xxxxxxxxxx;617132529.70
-65623676;abc qwertyqwertyqwerty xxxxxxxxxx;367365192.90
4582352;abc qwertyqwertyqwerty xxxxxxxxxx;431171607.64
-309564071;abc qwertyqwertyqwerty xxxxxxxxxx;543351903.32
242227744;abc qwertyqwertyqwerty xxxxxxxxxx;341649434.27
-132634585;abc qwertyqwertyqwerty xxxxxxxxxx;840066173.42
482486037;abc qwertyqwertyqwerty xxxxxxxxxx;760021729.04
422515985;abc qwertyqwertyqwerty xxxxxxxxxx;342995774.34
396958481;abc qwertyqwertyqwerty xxxxxxxxxx;207658199.14
-371040764;abc qwertyqwertyqwerty xxxxxxxxxx;664217326.20
10077623;abc qwertyqwertyqwerty xxxxxxxxxx;254466944.26
205508855;abc qwertyqwertyqwerty xxxxxxxxxx;346624887.58
346276;abc qwertyqwertyqwerty xxxxxxxxxx;295818787.31
37634377;abc qwertyqwertyqwerty xxxxxxxxxx;539140254.14
-282530119;abc qwertyqwertyqwerty xxxxxxxxxx;456094242.08
-63984397;abc qwertyqwertyqwerty xxxxxxxxxx;277313165.29
360124437;abc qwertyqwertyqwerty xxxxxxxxxx;258396551.62
-103876364;abc qwertyqwertyqwerty xxxxxxxxxx;720991121.78
-238181628;abc qwertyqwertyqwerty xxxxxxxxxx;629859460.15
-145512367;abc qwertyqwertyqwerty xxxxxxxxxx;553523717.63
-331538590;abc qwertyqwertyqwerty xxxxxxxxxx;584662494.80
85663825;abc qwertyqwertyqwerty xxxxxxxxxx;800436861.89
-244417042;abc qwertyqwertyqwerty xxxxxxxxxx;914975033.23
457194245;abc qwertyqwertyqwerty xxxxxxxxxx;400973710.43
-100935275;abc qwertyqwertyqwerty xxxxxxxxxx;313012849.63
-319908777;abc qwertyqwertyqwerty xxxxxxxxxx;94202782.35
40461994;abc qwertyqwertyqwerty xxxxxxxxxx;359132570.09
423858274;abc qwertyqwertyqwerty xxxxxxxxxx;323954281.76
-448339782;abc qwertyqwertyqwerty xxxxxxxxxx;699156739.00
286912131;abc qwertyqwertyqwerty xxxxxxxxxx;778451329.34
335490842;abc qwertyqwertyqwerty xxxxxxxxxx;123183691.89
154899161;abc qwertyqwertyqwerty xxxxxxxxxx;924171183.60
344717654;abc qwertyqwertyqwerty xxxxxxxxxx;161506580.96
301428457;abc qwertyqwertyqwerty xxxxxxxxxx;180996466.62
273774035;abc qwertyqwertyqwerty xxxxxxxxxx;225048009.86
-214132700;abc qwertyqwertyqwerty xxxxxxxxxx;48141717.01
97050651;abc qwertyqwertyqwerty xxxxxxxxxx;663350861.53
-379255670;abc qwertyqwertyqwerty xxxxxxxxxx;724930434.92
-74498703;abc qwertyqwertyqwerty xxxxxxxxxx;165342119.43
-410936532;abc qwertyqwertyqwerty xxxxxxxxxx;848512805.05
-43022745;abc qwertyqwertyqwerty xxxxxxxxxx;293429762.15
150057396;abc qwertyqwertyqwerty xxxxxxxxxx;149053547.72
426992836;abc qwertyqwertyqwerty xxxxxxxxxx;921315471.16
-440152013;abc qwertyqwertyqwerty xxxxxxxxxx;907426561.14
53191687;abc qwertyqwertyqwerty xxxxxxxxxx;272003550.89
-379133818;abc qwertyqwertyqwerty xxxxxxxxxx;244229848.47
398012752;abc qwertyqwertyqwerty xxxxxxxxxx;885910595.22
77555942;abc qwertyqwertyqwerty xxxxxxxxxx;119511738.52
-7369662;abc qwertyqwertyqwerty xxxxxxxxxx;379180345.79
-424426873;abc qwertyqwertyqwerty xxxxxxxxxx;875994800.58
216035932;abc qwertyqwertyqwerty xxxxxxxxxx;773301391.96
-386983289;abc qwertyqwertyqwerty xxxxxxxxxx;55312959.91
348940439;abc qwertyqwertyqwerty xxxxxxxxxx;850842049.22
-375710218;abc qwertyqwertyqwerty xxxxxxxxxx;308069466.62
441450278;abc qwertyqwertyqwerty xxxxxxxxxx;190228026.81
228181724;abc qwertyqwertyqwerty xxxxxxxxxx;57787291.55
162665925;abc qwertyqwertyqwerty xxxxxxxxxx;563475967.20
-61582554;abc qwertyqwertyqwerty xxxxxxxxxx;504426810.11
112989174;abc qwertyqwertyqwerty xxxxxxxxxx;547721156.06
-274978650;abc qwertyqwertyqwerty xxxxxxxxxx;230148986.80
-456847302;abc qwertyqwertyqwerty xxxxxxxxxx;800983195.28
-117316440;abc qwertyqwertyqwerty xxxxxxxxxx;385648705.62
339938331;abc qwertyqwertyqwerty xxxxxxxxxx;673787348.90
-14356960;abc qwertyqwertyqwerty xxxxxxxxxx;938883167.75
27993266;abc qwertyqwertyqwerty xxxxxxxxxx;280746588.80
-306958643;abc qwertyqwertyqwerty xxxxxxxxxx;425686545.67
-435730156;abc qwertyqwertyqwerty xxxxxxxxxx;74592529.39
23891659;abc qwertyqwertyqwerty xxxxxxxxxx;29394929.85
-351848865;abc qwertyqwertyqwerty xxxxxxxxxx;664530657.42
225483781;abc qwertyqwertyqwerty xxxxxxxxxx;309994860.56
-59625245;abc qwertyqwertyqwerty xxxxxxxxxx;118297518.73
-483837780;abc qwertyqwertyqwerty xxxxxxxxxx;816015870.69
98900667;abc qwertyqwertyqwerty xxxxxxxxxx;644394621.14
323407741;abc qwertyqwertyqwerty xxxxxxxxxx;20198649.77
-30301465;abc qwertyqwertyqwerty xxxxxxxxxx;5412509.00
-392102345;abc qwertyqwertyqwerty xxxxxxxxxx;60216159.97
118017209;abc qwertyqwertyqwerty xxxxxxxxxx;96221762.54
-188538344;abc qwertyqwertyqwerty xxxxxxxxxx;364088620.28
-239987305;abc qwertyqwertyqwerty xxxxxxxxxx;389019480.31
203968695;abc qwertyqwertyqwerty xxxxxxxxxx;692419564.15
360761989;abc qwertyqwertyqwerty xxxxxxxxxx;594152643.00
-83987465;abc qwertyqwertyqwerty xxxxxxxxxx;150879487.19
-76354783;abc qwertyqwertyqwerty xxxxxxxxxx;528489784.40
-156137167;abc qwertyqwertyqwerty xxxxxxxxxx;738501496.59
344080982;abc qwertyqwertyqwerty xxxxxxxxxx;313460907.08
179547907;abc qwertyqwertyqwerty xxxxxxxxxx;646188711.13
-287784014;abc qwertyqwertyqwerty xxxxxxxxxx;372934193.68
296342807;abc qwertyqwertyqwerty xxxxxxxxxx;306873826.13
-91357443;abc qwertyqwertyqwerty xxxxxxxxxx;12711982.45
-241515320;abc qwertyqwertyqwerty xxxxxxxxxx;869520145.68
